stationid,x,y
PAST1800,22.447874,40.753947
AXST1900,22.193720254000002,40.665896139000004
LTST0100,22.397638,40.602725
MAST0100,22.236283,40.560428
PLST0500,22.555851,40.634085
SIST0100,22.823903,40.664303999
ADST0500,22.615797,40.664159999999995
ANST0100,22.715266,40.669967
MGST1900,22.667215,40.619191
BRST0100,22.632775,40.660102
AIST0200,22.547798999999998,40.509187999
NSTR0100,22.913496,40.841006999
NRST0100,22.703066,40.811813999
KSST0100,22.541498999999998,40.463636
BAST0100,22.568873999999997,40.190952
TPTR0100,22.540475,40.423905
APST0300,22.597765,40.86036
PKST0100,22.578157,40.986209
KMST0100,22.904826,40.886834999
CHST0100,22.752899,40.621643
GNST0200,22.448960999999997,40.788467999
GAST0300,22.271389000000003,40.755077
AKST0200,22.258257999999998,40.672683
BBTR0100,23.482536,40.997022999
POST0100,23.271716,41.200001
ORST0100,23.555229,40.288995999
KHST0100,23.428242,41.05343
AAST0100,22.58314,40.46348
OAST0100,22.582148,40.237544
NGST0100,22.740333,40.921165
XETR0100,22.334327,40.570658
MLST0300,22.382103,40.529564
GYST0100,22.2732,40.799894
PSST0100,22.322961,40.598739999
PMTR0100,22.335299,40.802999999
METR0100,22.347620000000003,40.770408
SKTR0100,22.152714000000003,40.773106999
LPTR0100,22.172713000999998,40.754303999
GFST0100,22.686999999999998,40.726834999999994
KXTR0100,22.8606857745,40.6447351702
KBST3100,22.302082000000002,40.695121
KFTR0100,22.365032,40.5716
ARST0100,22.502875,40.665103999
PFTR0100,22.281673,40.781853000000005
KLST0100,22.592216,40.559784
TKST0100,22.555426999999998,40.592818
LHFS0100,23.213110999999998,41.142304999000004
AMST0100,23.342794,40.23963
KNST0100,23.074921,41.205796
SNST0100,23.3179,40.1096
ESTR0100,22.264065,40.710122
KATR0100,22.183789,40.818248999
LDTR0100,22.55089,40.681455
ATST0200,22.730024,40.708914
XATR0100,22.610032999999998,40.732425999
KYST0100,22.590405,40.783144999
PTST0100,22.560071,40.559437
PXTR0100,23.607422,39.984507
PGTR0100,23.201754,40.267560999000004
BUTR0100,23.795868,40.183212
AETR0100,23.340329,41.109758999
VLTR0100,22.710721399999997,40.76931
KXFS0100,22.861123000000003,40.640004999
NOTR0100,23.4442261795,40.6291303275
ABST0200,23.119915257,40.6667103971
AVBK0100,23.7067348586,40.7393338658
LLTR0100,23.087332271999998,40.7315466513
KDFS0100,23.849832,40.793178999999995
PRFS0100,22.660553,39.973321999
KTFS0100,22.600857,40.282436
DRFS0100,22.795426000000003,41.166603999
IRST0100,23.877965,40.391582
KMTR0100,22.952145,40.572099999
ZKTR0100,22.968052,40.635866
DBTR0100,22.976398,40.724792
MPTR0100,22.9568,40.617709999999995
KOTR0100,22.876009,40.669167
LMTR0100,22.917994,40.641686
KMTR0200,22.94644,40.590140000000005
DBTR0200,22.9599120665,40.7106937129
APTR0100,22.958610999999998,40.631807
ADFS0100,22.976323999999998,40.524153999999996
PETR0100,22.926522,40.505828
THFS0100,23.033494,40.558091999999995
ARFS0100,22.831567,40.499345
KITR0100,22.35288965,40.25445475
DVTR0100,22.863220000000002,40.704322999
NKTR0100,22.623476,40.990383
ABFS0100,23.10867,40.670484999
LBTR0100,23.403823000000003,40.658333999
LGTR0100,23.248449,40.626645999000004
SETR0100,23.547476,41.073292999
KVTR0100,23.081538000000002,40.672398999
ALTR0100,22.454885,40.636106999
AGTR0100,22.249671,40.486885
ELTR0100,23.370939,41.009902000000004
VRTR0100,22.202270000000002,40.536216999000004
NHTR0100,23.678041,40.217079999999996
KKTR0100,23.057969316999998,40.313481983
KHTR0100,23.441429951999996,40.071912345
ATTR0100,22.978366454,40.614064516999996
EYTR0100,22.884908687,40.667552926999996
VSTR0100,23.705029999999997,40.71629
ASTR0100,22.778258249,40.714086095
ASTR0200,22.7843189075,40.7131339599
VSTR0200,23.6953260029,40.698893074000004
BXTR0100,23.377204352,40.710342984
KWTR0100,22.312712215999998,40.768898348
FETR0100,22.853080065,40.743533316
VOTR0100,23.302768004,40.648305469
WLTR0100,22.525230185999998,40.761404350999996
VATR0100,22.909418975,40.495468479
AYTR0100,22.626977075,40.901378714
NFTR0100,23.394786144,40.1352279728
AUTR0100,22.194106705,40.601098575
EPTR0100,22.134713152,40.688794501
ACTR0100,22.215669296999998,40.597796321
AHTR0100,22.470975181999997,40.554913696
GNTR0300,22.414555117,40.793504719
DATR0100,22.247972049,40.58709868
KCTR0100,22.317498098,40.544963366
SVTR0100,22.307149236999997,40.58881743
SDTR0100,22.216051134,40.792256811
WWTR0100,22.940538789,40.587111258
RTTR0100,22.415817653,40.505034594
HATR0100,22.162345301,40.809806552
LATR0100,22.246067032,40.858426344
FATR0100,22.36555139,40.568571378
EMTR0100,22.864798001,40.795617719
KVTR0200,23.0447312263,40.7173642722
HRTR0100,23.304868473000003,41.132455868
HLTR0100,22.731980401999998,41.062491814
EDTR0100,22.0514201473,40.803617529499995
AWTR0100,22.293902975,40.71980545
PFTR0200,22.27388967,40.782835176
URTR0100,23.660980455,39.941547408000005
LCTR0100,22.958699949,40.47292837
NMTR0100,22.352277841,40.818852508
STTR0100,22.9327643296,40.6740800786
ZETR0100,22.213345537,40.656174635
NLTR0100,23.0946285917,40.3015562936
DETR0100,23.32839764,40.194421717
AJTR0100,22.6497034546,40.84092232
PPTR0100,22.193965744,40.6828140828
OPTR0100,22.129853296,40.631686434
ROTR0200,22.864612636,40.658983627
ROTR0400,22.868870344,40.667964459000004
ROTR0100,22.859561995,40.666068314
ROTR0300,22.869284048,40.673032336999995
KTTR0200,22.5113249823,40.2699326384
KTTR0100,22.5009009219,40.2712518338
RZTR0100,22.9853898846,40.6605388585
ROTR0500,22.865285164899998,40.66173334
MKTR0100,22.600935513499998,40.4161185011
AOTR0100,23.030769038600003,40.821624707199994
GMTR0100,22.4497674909,40.9472741916
PWTR0100,22.6228732791,39.9943000588
PCTR0100,22.4925057496,40.6355578811
SATR0100,22.2178634784,40.711939396999995
MHTR0100,22.265689489499998,40.5269622617
AFTR0100,22.386747457600002,40.8348387677
PTTR0200,22.5502997184,40.5651922406
VVTR0100,23.395974939299997,41.1759815902
PITR0100,22.5409274883,40.2740973894
SKTR0200,22.1580407537,40.7654531803
