stationid,x,y
BIOTR0100,24.442917,35.362667
ROUTR0100,24.700135999999997,35.407511
KNVTR0200,24.399222,35.230306
PRVTR0100,24.51407,35.36614
PTNTR0100,24.528194,35.367056
RETTR0200,24.473000000000003,35.364806
GEOTR0100,24.256139,35.362083
SUDTR0100,24.061167,35.491639
ALMTR0100,25.056139,35.336701
HRATR0100,25.120862,35.332056
XANTR0200,24.002389,35.50825
XANTR0100,24.035277999999998,35.499860999999996
GIOTR0100,25.110144000000002,35.336064
GAZTR0100,25.065026,35.334606
APOTR0100,25.331566,35.332512
PLTTR0100,23.895417000000002,35.517889000000004
IERTR0100,25.741295,35.013387
SHTTR0100,26.104770000000002,35.203951
ANITR0100,25.704623,35.181787
AMMTR0100,25.706695,35.174189
IERTR0200,25.726225,35.010131
KNVTR0100,24.397639,35.230610999999996
RETTR0100,24.476639000000002,35.366972
MAGTR0200,25.970448,35.036955
MAGTR0300,25.990705,35.038701
MAGTR0100,25.970634,35.036848
GEOTR0200,24.263694,35.358472
PLTTR0200,23.890194,35.52025
MAGTR0600,25.973284,35.035571999999995
MAGTR0500,25.970865,35.037677
MAGTR0400,25.970093,35.036615000000005
STOTR0200,25.672769,35.013544
XANTR0300,24.03525,35.498917
GEOTR0300,24.257694,35.361639000000004
STOTR0100,25.675628,35.013144
PLTTR0300,23.891917000000003,35.520111
STOTR0300,25.669631,35.0134
NANTR0200,25.663698999999998,35.012407
NANTR0100,25.663110999999997,35.010262
NANTR0300,25.658339,35.010865
PERTR0100,24.705083,35.371417
HRATR0200,25.119316,35.331741
HRATR0300,25.121667000000002,35.331596999999995
KAVTR0100,24.795082999999998,35.308617
ROYTR0100,24.494076999999997,35.334583
SKATR0100,24.616135999999997,35.389514
KAVTR0200,24.790394,35.310067
IERTR0400,25.753411,35.009638
IERTR0500,25.748004,35.011736
IERTR0300,25.749689,35.010718
KAGTR0100,25.295804,35.329108000000005
KAGTR0200,25.306317,35.327193
AGPTR0200,24.559276,35.353048
AGPTR0100,24.56193,35.350466
ROUTR0300,24.56193,35.350466
ROUTR0200,24.703579,35.403051
ASLTR0200,24.299654999999998,35.341976
ASLTR0100,24.295668,35.341561999999996
LIMTR0100,25.638913,35.245601
MOITR0100,24.873832,35.048614
KENTR0100,25.756216000000002,35.032262
AMNTR0100,24.617461,35.329878
LASTR0100,25.899532,35.140373
LASTR0200,25.8997345,35.1416805
MOITR0200,24.873223,35.048491
SHTTR0200,26.109237,35.210815999999994
