Nummer,x,y
SB16,7.582356,48.103378
SG01,8.072794,48.78978
SG02,8.026841000000001,48.770099
SG03,7.9852479999999995,48.759098
SG04,7.9736910000000005,48.751194
SB01a,7.9373,48.6964
SB02,7.906248,48.667697
SB03,7.804023,48.504416
SB04,7.774556,48.475482
SB05,7.771717999999999,48.459707
SB06,7.765352,48.439419
SB10,7.867669,48.400242999999996
SB09,7.748794999999999,48.359666
SB07,7.757027000000001,48.408606
SB13,7.692928,48.247766999999996
SB14,7.695708,48.219534
SB17,7.7102770000000005,48.059292
SB15,7.658595,48.20418
SB08,7.7384,48.381403999999996
SB18,7.7397789999999995,48.057446999999996
SB11,7.740874000000001,48.316083
SB12,7.722422999999999,48.272803
S17,8.518836,49.369708
S02,8.472244,49.286018
S03,8.423394,49.291796000000005
S04,8.368656,49.258328999999996
S01,8.486561,49.37627
S05,8.361245,49.180282
S07,8.35908,49.115716
S09,8.296315,49.021501
S08,8.164591999999999,49.038977
S06,8.364548,49.175140999999996
N06,8.520021,49.863316999999995
N04,8.461155,49.813561
N03,8.458288,49.738153999999994
N01,8.437625,49.592503
N14,8.441556,49.731548
N13,8.392527000000001,49.755169
N16,8.381922,49.570168
N15,8.365435,49.702811
N12,8.363227,49.85911
N05,8.41138,49.825157
S16,8.511432000000001,49.25607
S15,8.454496,49.247685
S14,8.374464999999999,49.167544
S13a,8.270503999999999,48.975547999999996
S12,8.212062,48.955587
S11,8.145247999999999,48.875306
S10,8.109338000000001,48.807463
N07,8.391339,49.924997
N11,8.344035,49.927527000000005
N08,8.326382,49.977965000000005
N10,8.192783,50.032849
N09,8.00816,49.985849
N02,8.382213,49.700655
SB01,7.934067,48.685016
SB16,7.7102770000000005,48.059292
SB17,7.582356,48.103378
10,8.37625,49.4832
6,8.4383,49.5424
8,8.49513,49.5369
4,8.60878,49.7741
3,8.609580000000001,49.8034
1,8.6497,49.8599
5,8.481539999999999,49.5826
2,8.55682,49.8162
9,8.35495,49.5422
15,8.6205,49.2605
13,8.55649,49.3139
16,8.54642,49.2411
11,8.524289999999999,49.3161
7,8.47875,49.5052
17,8.3228,49.269
12,8.53466,49.2923
14,8.632810000000001,49.3045
19,8.32702,49.3134
18,8.28145,49.3109
20,8.20059,49.3254
26,8.6638,49.468999999999994
28,8.62129,49.3995
29,8.560839999999999,49.471000000000004
27,8.36472,49.39
30,8.30567,49.4375
24,8.546510000000001,49.6732
21,8.492280000000001,49.7497
22,8.46317,49.6917
23,8.44544,49.643
25,8.6677,49.5501
