stationid,x,y
Bois Francois,4.787094000000001,43.39843
Caisse d'epargne,4.727519999999999,43.41326
Jardins,4.741548000000001,43.414753999999995
Port Napoleon,4.822847,43.377357
Grande Sagne,2.934282,42.842603000000004
Le Bourdigou,3.0351790000000003,42.750147999999996
Les Dosses,3.032942,42.837604999999996
Les Pecheurs,3.000527,42.897923999999996
Reart,2.996648,42.661654999999996
Les Beugons,5.199212999999999,43.424665000000005
Les Carrieres,4.956179,43.490163
Ponteau,5.011963,43.368183
Poudrerie,5.030698,43.551277
Bellegarde,4.504919,43.748263
Bois d'Espeyran,4.393586,43.649133
Calviere,4.261512000000001,43.518329
Jasse brulee,4.206275,43.632843
L'Elysette,4.15569,43.516073999999996
Mas d'Avon,4.208122,43.568094
Mas de la Pinede,4.329237,43.481993
Petite Sylve,4.382242,43.571265999999994
Bosc Viel,4.0097,43.599235
Le Desert,3.780325,43.471579
Maison de la Nature,3.902103,43.551843
Mas d'Andos,3.8310470000000003,43.523993
Pont-du-lievre,4.104153,43.596909000000004
Saint Marcel,3.9681330000000004,43.585443
Agence,3.015475,43.169298
Les pujots,3.0607599999999997,43.103359000000005
Manade Jean,3.042534,43.007544
Peyriac,2.962796,43.092314
Saint Louis,3.228197,43.216209
Bellonette,3.558036,43.393035
Clos de Vias,3.430671,43.293043
Marge,3.2027229999999998,43.233756
Portiragnes plage,3.3561620000000003,43.280497
