stationid,x,y
1,12.8770891263046,45.6062923412472
2,12.4823898448552,45.6085766672161
3,12.4293676691296,45.5589201764633
4,12.2135788742086,45.5193996545932
5,12.1569590438279,45.4316914827243
6,12.1390379965439,45.3612494916435
7,12.1228423409438,45.1376519168406
8,12.3240131618937,45.138666698153
9,12.0495864728656,44.9861460360422
10,11.6708414341144,45.5593588296908
11,11.7835829364154,45.5413147335452
12,11.9323998065083,45.4252146207434
13,11.6742456495845,45.2496239371142
14,11.4615382211061,45.0100257533902
15,11.7298309003922,45.0989990870541
16,11.7836733829108,45.108846314243
17,11.7888881174876,45.3837181447829
18,11.9995911709607,45.2837604463551
19,11.7715951396043,44.9669288692202
20,10.8327299994011,45.3562999998189
22,10.8398300005566,45.3592800002537
24,10.8446799996648,45.3590999998824
162,11.4550278123559,44.9639144422975
163,11.3488551723893,45.0513823375177
164,11.2961628241074,45.1506832893213
165,11.2102490766052,45.1571350876077
166,11.151194218498,45.3611434784298
167,11.1178688050523,45.314328525654
168,11.8827158850285,45.0744965528181
169,12.0214448492975,45.1853127146777
170,11.8896017550965,45.0723542224864
171,13.47015,45.75405
172,10.9736474429903,45.4172257333913
173,11.0102963383514,45.3657593859715
174,12.0269870735918,45.8838350200576
175,12.1125991223834,45.7835993406689
176,11.8170471929279,45.8116708809428
177,12.2341908251842,45.9905049227498
178,12.4243495047059,45.864106903809
179,12.5506960250013,45.6930421812408
180,12.128846284731,45.6391735996512
181,12.2716329947521,45.6939738371978
182,11.492971,45.304999
183,11.5536704382253,45.4989553823436
184,11.5850812612342,45.5194056413934
185,11.5313921812802,45.6260896284821
186,11.535037420585,45.7371232728708
187,11.4186644907398,45.6311462447857
188,11.3733149769224,45.5550831280927
189,11.6885475254877,45.7775484163574
190,11.6816164392727,45.7075034094418
191,11.2301560129357,45.3294203764419
192,10.6438950562349,45.4554903954806
193,11.0024980462595,45.2347709955983
194,10.7026765730351,45.3735420719724
195,10.8428362964231,45.2664499298647
196,11.2402523502602,45.3767724763959
197,11.03112784528,45.4223885863012
198,12.79735868934,45.8264089987247
199,12.8596872754747,45.6903223491131
200,12.31386,45.139908
201,11.38487412,45.40183944
202,11.54181172,45.40480511
203,11.81816744,45.62500433
204,11.643152,45.359249
205,11.0924556902819,45.4771352963537
206,11.0805534243407,45.5812407923165
207,10.8716613821332,45.536719847341
208,10.6660282087626,45.4299406062214
210,13.0851029998056,45.7858634968623
211,13.295942639471,45.8937106257217
212,13.0732236713241,45.9396803904353
213,13.6141796211317,45.960975550749
214,13.4735311791371,45.7884810330617
216,12.481318964843,45.9803384327437
217,12.7220052750156,45.9118521440148
218,12.8945051938065,45.9146237649142
219,12.8436456973613,46.1551912869123
221,13.2872563463728,46.1053682972349
222,13.161218,45.761223
223,13.157778,45.910453
224,13.499109,45.725903
225,13.282988,45.836887
226,12.80401,45.85616
227,11.37895,45.005233
228,12.126829,44.944259
229,12.202418,45.001155
230,13.512166,45.728714
231,13.517398,45.731658
232,12.493507,45.704152
233,12.26156666,45.65888333
234,12.25945,45.66261111
235,12.264539,45.04901
300,12.952838,45.63806
301,13.019106,45.634267
302,12.903255,45.793908
303,12.78304,45.697488
304,12.744675,45.683372
305,12.69061,45.636265
306,12.639417,45.543168
307,12.658373,45.674905
308,12.694802,45.751713
309,12.506765,45.629647
310,12.545724,45.785475
311,12.64166,45.608152
312,12.389119,45.712307
313,12.411409,45.788673
314,12.260767,45.594461
315,12.362191,45.63449
316,13.191821,45.832649
317,13.006921,45.876679
318,12.891558,46.152891
319,11.610336,44.916966
320,11.247569,45.337162
321,11.000028,45.234662
325,11.828016,45.212872
326,11.950384,45.170173
327,11.89092,45.186185
328,11.19535,45.423217
329,11.754071,45.079255
330,12.168457,45.537997
331,11.730748,45.69585
332,11.771601,45.793416
333,12.173996,45.882247
334,10.998739,45.376162
335,11.081258,45.396479
336,10.786883,45.33195
337,11.34443,45.243415
338,11.087499,45.329242
339,11.378061,45.491496
340,11.73371,45.474447
341,11.906861,45.5911139
342,11.483487,45.179494
343,11.855163,45.4847167
344,11.797415,45.300675
345,12.288496,45.195662
346,12.084125,45.464148
347,12.975591,45.6944639
348,12.043984,45.19532
349,11.50945,45.073324
350,11.640704,45.063327
351,12.387234,44.980015
352,11.835764,45.064263
353,11.910472,45.7251389
354,12.089294,45.7374389
355,12.299455,45.7975417
356,12.649761,46.1041556
357,12.882561,46.1380722
358,12.646058,45.8751861
359,13.083686,46.123687
360,13.522398,45.941135
361,12.255492,45.700641
362,11.709889,45.172266
363,12.096949,45.467851
364,12.821231,46.025438
365,13.117108,46.01971
366,13.387753,46.059641
368,12.5818905492817,45.8138641257627
369,12.283716,45.198981
370,11.90557,45.857596
372,12.29941,45.986158
373,12.461786,45.712302
374,11.649377,45.743659
375,11.549733,45.288584
376,11.459718,45.701843
377,11.517407,45.557696
378,11.683377,45.207218
379,11.130067,45.292435
380,11.348957,45.142783
381,10.791083,45.332144
382,11.958691,45.445442
383,12.450199,44.902272
384,12.637082,45.544211
385,12.1235222830845,45.1390138449375
386,12.587252,45.781058
387,11.771234,45.070988
388,11.790342,44.975883
389,12.985235,45.771308
390,11.832971,45.340596
391,11.980783,45.320831
392,12.223217,45.510817
393,11.595169,45.387761
396,12.079125,45.054087
397,11.897642,45.351147
399,10.8808,45.4572
997,13.396095,45.678557
998,11.771370396889,44.9676490446652
