stationid,x,y
WNV01,20.159233,44.986733
WNV02,20.6911,44.80476
WNV03,20.653817,44.867033
WNV04,20.58505,44.947683
WNV05,20.159233,44.986733
WNV06,20.58435,44.948167
WNV07,20.52185,44.984633
WNV08,20.4705,45.00675
WNV09,20.41785,45.053383
WNV10,20.470517,45.00675
WNV11,20.417833,45.053367
WNV12,20.383483,45.21465
WNV13,20.447683,45.3114
WNV14,20.42345,45.311117
WNV15,20.391617,45.3592
WNV16,20.391617,45.3592
WNV17,20.304433,45.528133
WNV18,20.305733,45.51155
WNV19,20.305883,45.511517
WNV20,20.305883,45.511517
WNV21,20.0217,45.61265
WNV22,19.90225,45.654467
WNV23,19.6315,45.825283
WNV24,19.653117,45.709633
WNV25,19.634267,45.793367
WNV26,19.68145,45.67995
WNV27,19.7087,45.657733
WNV28,19.7094,45.658083
WNV29,19.816367,45.44495
WNV30,19.84275,45.362383
WNV31,19.8585,45.39125
WNV32,19.753117,46.100367
WNV33,19.674767,46.080767
WNV34,19.644154,46.089065
WNV35,19.674817,46.080817
WNV36,19.332457,45.923825
WNV37,19.204489,45.847248
WNV38,19.242486,45.813342
WNV39,19.406667,45.981733
WNV40,19.292883,45.7665
WNV41,18.962967,45.65125
WNV42,19.031848,45.67756
WNV43,18.962933,45.651317
WNV44,19.189,45.50595
WNV45,19.251388,45.504809
WNV46,19.395501,45.416504
WNV47,19.527674,45.370195
WNV48,19.742383,45.286183
WNV49,19.814183,45.264983
WNV50,19.81505,45.254983
WNV51,20.066667,45.056233
WNV52,20.15925,44.986667
WNV53,19.87835,45.2477
WNV54,19.886367,45.225067
WNV55,19.8427,45.362383
WNV56,19.76125,44.87385
WNV57,19.591767,44.974817
WNV58,19.408933,45.023233
WNV59,19.40895,45.023233
WNV60,19.227017,45.014217
WNV61,20.413467,45.633867
WNV62,20.447417,45.8026
WNV63,20.32145,45.832183
WNV64,20.1026,45.9362
WNV65,20.060183,46.06005
WNV66,20.601222,45.665806
WNV67,20.591278,45.830667
WNV68,20.429667,45.92875
WNV69,20.279861,45.959917
WNV70,19.582639,44.985222
WNV71,20.53275,44.988028
WNV72,19.900417,45.652167
WNV73,19.633472,45.851222
WNV74,19.629502,45.814666
WNV75,19.519094,42.822655
WNV76,19.702454,45.671441
WNV77,20.639978,44.856254
WNV78,20.642635,44.881807
WNV79,20.682432,44.896476
WNV80,20.636119,44.879989
WNV81,20.65832,44.862319
WNV82,20.713259,44.962447
WNV83,20.964101,45.079019
WNV84,20.774745,44.981722
WNV85,19.798572,45.357015
WNV86,19.81034,45.355189
WNV87,19.798456,45.360961
WNV88,19.809452,45.263917
WNV89,20.133122,45.593758
WNV90,20.151256,45.597192
WNV91,20.63753,45.620546
WNV92,19.109676,45.046769
WNV93,19.770903,44.87037
WNV94,19.419674,45.019035
WNV95,19.84437,45.251173
WNV96,19.846189,45.25135
WNV97,19.808623,45.265463
WNV98,19.310287,45.306722
WNV99,20.632871,44.911603
WNV100,21.3065,45.120247
WNV101,19.564826,46.15796
WNV102,19.565301,46.158013
WNV103,19.564564,46.157968
WNV104,20.388118,45.350353
WNV105,20.642353,45.309815
WNV106,20.640926,45.315904
WNV107,20.548678,45.48668
WNV108,20.539885,45.568397
WNV109,20.52485,45.556847
WNV110,20.527589,45.38671
WNV111,20.549805,45.389714
WNV112,20.660798,44.880437
WNV113,20.624942,44.868924
WNV114,20.727104,44.756191
WNV115,20.698492,44.74524
WNV116,20.793102,44.726126
WNV117,20.877788,44.902842
WNV118,19.847222,45.210242
WNV119,19.823055,45.261025
WNV120,19.821696,45.283559
WNV121,19.850657,45.265763
WNV122,19.829969,45.247994
WNV123,19.826924,45.260269
WNV124,20.028734,45.21564
WNV125,20.068831,45.192049
