stationid,dt_placeme,MUNICIPALITY,PROVINCE,TP_TRAP,N_POOL,culex,POS_WN,ndvi,ndwi,ndmi,ndbi,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndmi_mean,ndmi_std,ndbi_mean,ndbi_std,lst_day,lst_night,acc_rainfall_1week,acc_rainfall_2week2,acc_rainfall_jan,LST_Jan_mean,LST_Feb_mean,LST_Mar_mean,LST_Apr_mean,image,date,diff_in_days_indices,lst_day_image,lst_day_date,diff_in_days_lst_day,lst_night_image,lst_night_date,diff_in_days_lst_night,WC_L_1km,W_area_1km,DEM_1000,Aspect_1000,Slope_1000,Coast_dist_1000,WC_dist_1000,Flow_acc_1000,x,y
1,2020-05-18,Caorle,Venezia,CDC-CO2,1,19,0,0.210762331838565,-0.219953009217423,0.008064516129032,-0.008064516129032,0.203365305454782,0.073655366854743,-0.203062999154354,0.066400067799083,0.02481754166247,0.063064472051823,-0.02481754166247,0.063064472051823,14972,14384,38.46663,43.79996,261.81669,13936.833333333301,14228.7,14358.1818181818,14980.5,S2B_MSIL1C_2020-05-10_R122.tif,2020-05-10,8,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-09_006.tif,2020-05-09,9,6209.745276,188580.173358,2.0,181.852737,3.170475,755.33844,181.0,0.768354,12.8770891263046,45.606292341247205
397,2020-05-18,Padova,Padova,Gravid Trap,1,7,0,0.4292101341281671,-0.42109162756236096,0.129564193168433,-0.129564193168433,0.4526191450570589,0.087758921894066,-0.435906747544986,0.060880503892267,0.159459684311254,0.091864741639397,-0.159459684311254,0.091864741639397,15269,14232,19.56667,22.700003,180.149966,13939.833333333301,14286.4375,14504.176470588201,15032.1818181818,S2B_MSIL1C_2020-05-03_R022.tif,2020-05-03,15,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-08_006.tif,2020-05-08,10,,,,,,,,,11.897642,45.351147
392,2020-05-18,Venezia,Venezia,CDC-CO2,1,6,0,0.251454138702461,-0.255949708127526,0.027175908923981,-0.027175908923981,0.286104445503528,0.074967778294562,-0.28975633811008195,0.064154494690016,0.052003688916478,0.041092159784048,-0.052003688916478,0.041092159784048,15192,14352,36.26673,38.600067,169.900074,13990.8,14299.8666666667,14536.461538461499,14994.9,S2A_MSIL1C_2020-05-08_R022.tif,2020-05-08,10,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-07_006.tif,2020-05-07,11,4061.86574,38393.816264,0.0,171.079849,1.435196,6427.32373,37.0,3.974069,12.223217,45.510816999999996
198,2020-05-18,Cinto Caomaggiore,Venezia,CDC-CO2,1,6,0,0.273494258261073,-0.281603773584906,-0.001286528211726,0.001286528211726,0.3788357178261621,0.055189862932664,-0.30340072188120304,0.05821034675425401,0.15252314100233402,0.106566510596025,-0.15252314100233402,0.106566510596025,15095,14521,59.63336700000001,65.03336999999999,217.100123,13986.6875,14248.2307692308,14478.666666666699,14969.333333333301,S2A_MSIL1C_2020-05-15_R122.tif,2020-05-15,3,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,7207.80382,604526.916814,5.0,221.362305,4.301568,24714.152344,203.0,60211.2,12.79735868934,45.8264089987247
199,2020-05-18,Concordia Sagittaria,Venezia,CDC-CO2,1,14,0,0.197782617303504,-0.189072327044025,0.036491348295357,-0.036491348295357,0.15030913485673,0.07615524896252,-0.16735198361758302,0.06427952758065901,-0.006422192539199999,0.06382352757815299,0.006422192539199999,0.06382352757815299,15158,14417,38.46663,43.79996,261.81669,13950.666666666699,14242.928571428602,14484.071428571398,15068.6470588235,S2B_MSIL1C_2020-05-10_R122.tif,2020-05-10,8,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-09_006.tif,2020-05-09,9,4721.254625,290379.143468,0.0,23.073887,4.410034,9295.942383,54.0,371.7529,12.859687275474698,45.6903223491131
314,2020-05-18,Preganziol,Treviso,CDC-CO2,1,56,0,0.230861723446894,-0.261709120788825,-0.0022742040285900003,0.0022742040285900003,0.316570906362118,0.098550268183843,-0.31632944800603097,0.070496521853544,0.047290453820294,0.054951192781099015,-0.047290453820294,0.054951192781099015,15203,14293,36.26673,38.600067,169.900074,13946.526315789499,14264.2666666667,14504.5,14955.8571428571,S2A_MSIL1C_2020-05-08_R022.tif,2020-05-08,10,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-07_006.tif,2020-05-07,11,1245.851777,68348.777425,5.0,215.254852,2.136426,12063.803711,881.0,54.74589,12.260767,45.594460999999995
3,2020-05-18,Quarto d'Altino,Venezia,CDC-CO2,1,27,0,0.648667439165701,-0.567650947553989,0.35195743063474,-0.35195743063474,0.4609618349890561,0.248047828514474,-0.427541953392764,0.172985142328702,0.23273811887224696,0.259126599930594,-0.23273811887224696,0.259126599930594,15104,14380,21.96663,24.966627,184.016655,13949.4444444444,14298.916666666699,14450.428571428602,14867.8181818182,S2B_MSIL1C_2020-05-03_R022.tif,2020-05-03,15,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-10_006.tif,2020-05-10,8,5799.35152,107143.441344,0.0,159.036743,3.263651,2522.51001,311.0,4.224569,12.4293676691296,45.558920176463296
384,2020-05-18,Jesolo,Venezia,CDC-CO2,1,16,0,0.405614215812516,-0.3951942740286301,0.09334935897435903,-0.09334935897435903,0.410490331050158,0.121510025617386,-0.391720997867182,0.08992560273510301,0.109670347659785,0.11462242708779,-0.109670347659785,0.11462242708779,15160,14401,35.033367,38.966703,203.016657,13934.3529411765,14272.916666666699,14411.333333333301,14925.4,S2B_MSIL1C_2020-05-03_R022.tif,2020-05-03,15,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-09_006.tif,2020-05-09,9,4345.1181689999985,43413.646995,0.0,201.23056,3.347325,3912.984863,375.0,92.65839,12.637082000000001,45.544211
397,2020-05-18,Padova,Padova,CDC-CO2,1,16,0,0.4292101341281671,-0.42109162756236096,0.129564193168433,-0.129564193168433,0.4526191450570589,0.087758921894066,-0.435906747544986,0.060880503892267,0.159459684311254,0.091864741639397,-0.159459684311254,0.091864741639397,15269,14232,19.56667,22.700003,180.149966,13939.833333333301,14286.4375,14504.176470588201,15032.1818181818,S2B_MSIL1C_2020-05-03_R022.tif,2020-05-03,15,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-08_006.tif,2020-05-08,10,,,,,,,,,11.897642,45.351147
382,2020-05-18,Vigonza,Padova,CDC-CO2,1,51,0,0.514349887696531,-0.459355459355459,0.179856115107914,-0.179856115107914,0.35999387495158897,0.100988239444267,-0.356944121585985,0.066989207604528,0.09294930986729,0.081096619453397,-0.09294930986729,0.081096619453397,15210,14321,30.866633,32.39997,190.64993,13951.2352941176,14294.5333333333,14532.0,14969.652173913,S2A_MSIL1C_2020-05-08_R022.tif,2020-05-08,10,MODIS_MOD11A1_2020-05-17_006.tif,2020-05-17,1,MODIS_MOD11A1_2020-05-15_006.tif,2020-05-15,3,9171.213029,10008.308274,8.0,236.141006,2.204349,21181.453125,102.0,1.32086,11.958691,45.445442
