stationid,dt_placeme,WC_L_1km,W_area_1km,DEM_1000,Aspect_1000,Slope_1000,Coast_dist_1000,WC_dist_1000,Flow_acc_1000,x,y
1,2020-05-18,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
397,2020-05-18,,,,,,,,,11.897642,45.351147
392,2020-05-18,4061.86574,38393.816264,0,171.079849,1.435196,6427.32373,37,3.974069,12.223217,45.510817
198,2020-05-18,7207.80382,604526.916814,5,221.362305,4.301568,24714.152344,203,60211.2,12.79735868934,45.8264089987247
199,2020-05-18,4721.254625,290379.143468,0,23.073887,4.410034,9295.942383,54,371.7529,12.8596872754747,45.6903223491131
314,2020-05-18,1245.851777,68348.777425,5,215.254852,2.136426,12063.803711,881,54.74589,12.260767,45.594461
3,2020-05-18,5799.35152,107143.441344,0,159.036743,3.263651,2522.51001,311,4.224569,12.4293676691296,45.5589201764633
384,2020-05-18,4345.118169,43413.646995,0,201.23056,3.347325,3912.984863,375,92.65839,12.637082,45.544211
397,2020-05-18,,,,,,,,,11.897642,45.351147
382,2020-05-18,9171.213029,10008.308274,8,236.141006,2.204349,21181.453125,102,1.32086,11.958691,45.445442
376,2020-05-18,0,0,143,158.501587,2.259532,68591.078125,3118,0,11.459718,45.701843
1,2020-05-18,6209.745276,188580.173358,2,181.852737,3.170475,755.33844,181,0.768354,12.8770891263046,45.6062923412472
373,2020-05-18,2735.966586,118662.510083,7,219.334335,3.684495,15795.103516,382,1.814334,12.461786,45.712302
346,2020-05-18,5855.505804,0,3,134.614334,2.340723,13540.647461,230,3.023932,12.084125,45.464148
340,2020-05-18,3298.557237,0,19,118.784462,3.274926,37477.90625,410,0,11.73371,45.474447
377,2020-05-18,2155.013547,36008.551736,38,272.416962,2.455253,56752.660156,479,0.266719,11.517407,45.557696
10,2020-05-18,5096.867338,2466.041522,31,88.212029,2.488173,46648.046875,431,0.061692,11.6708414341144,45.5593588296908
341,2020-05-18,5150.886561,24.304864,23,328.341431,2.813714,31882.681641,442,3.091925,11.906861,45.5911139
320,2020-05-20,3912.304712,269312.709957,22,95.482025,2.07496,70963.007813,96,2.45006,11.247569,45.337162
319,2020-05-20,2872.162671,960.279743,4,156.554214,2.289426,57461.378906,450,10.79712,11.610336,44.916966
